Species,Location,Seasonality,Tissue,Length,log_Length,PFBA,log_PFBA,PFPeA,log_PFPeA,PFHxA,log_PFHxA,PFHpA,log_PFHpA,PFOA,log_PFOA,PFNA,log_PFNA,PFDA,log_PFDA,PFUdA,log_PFUdA,PFDoA,log_PFDoA,PFTrDA,log_PFTrDA,PFTeDA,log_PFTeDA,PFHxDA,log_PFHxDA,PFBS,log_PFBS,PFPeS,log_PFPeS,PFHxS,log_PFHxS,PFHpS,log_PFHpS,PFOS,log_PFOS,PFNS,log_PFNS,PFDS,log_PFDS,PFDoS,log_PFDoS,ClPFOS,log_ClPFOS,FBSA,log_FBSA,FHxSA,log_FHxSA,FOSA,log_FOSA,MeFOSA,log_MeFOSA,MeFOSAA,log_MeFOSAA,EtFOSAA,log_EtFOSAA,FourTwoFTS,log_FourTwoFTS,SixTwoFTS,log_SixTwoFTS,EightTwoFTS,log_EightTwoFTS,TenTwoFTS,log_TenTwoFTS,ThreeThreeFTCA,log_ThreeThreeFTCA,FiveThreeFTCA,log_FiveThreeFTCA,SevenThreeFTCA,SevenThreeFTCA,SixTwoFTCA,log_SixTwoFTCA,EightTwoFTCA,log_EightTwoFTCA,TenTwoFTCA,log_TenTwoFTCA,SixTwoUFTCA,log_SixTwoUFTCA,ADONA,log_ADONA,SixTwoDiPAP,log_SixTwodiPAP,SumPFAS
Pumpkinseed,Down,Spring,Whole Body,8,0.903089987,0.245,-0.610833916,0.161033014,-0.79308508,0.123004998,-0.910077243,0.091166937,-1.040162637,1.8,0.255272505,1.76,0.245512668,4.81,0.682145076,6.48,0.811575006,43,1.633468456,2.04,0.309630167,8.61,0.935003151,0.082312703,-1.084533136,23,1.361727836,0.319,-0.496209317,46.2,1.664641976,1.45,0.161368002,1180,3.071882007,2.76,0.440909082,3.03,0.481442629,0.875,-0.057991947,0.138501766,-0.858544689,37.7,1.57634135,55.1,1.741151599,19.5,1.290034611,0.053207181,-1.274029748,0.069483732,-1.158116862,0.059948509,-1.222221614,0.056729905,-1.246187944,0.319,-0.496209317,2.71,0.432969291,0.258792286,-0.587048673,0.079666701,-1.098723169,0.171999018,-0.764474034,0.055620156,-1.254767799,4.07,0.609594409,0.027626344,-1.558676577,0.103059561,-0.986911713,0.054230276,-1.265758187,0.069065861,-1.160736568,0.073522608,-1.133579098,1447.506972
Pumpkinseed,Down,Spring,Whole Body,8.5,0.929418926,0.094359404,-1.025214809,0.050506679,-1.296651191,0.127312365,-0.895129415,0.094359404,-1.025214809,0.296,-0.528708289,1.74,0.240549248,4.93,0.692846919,11.1,1.045322979,29.2,1.465382851,11,1.041392685,7.28,0.862131379,0.085195115,-1.069585307,3.33,0.522444234,0.124918862,-0.90337198,16.4,1.214843848,0.827,-0.08249449,1020,3.008600172,0.989,-0.004803708,0.958,-0.018634491,0.252262853,-0.598146697,0.143351796,-0.843596861,146,2.164352856,81.1,1.909020854,26.2,1.418301291,0.055070381,-1.25908192,2.8,0.447158031,0.062047775,-1.207273785,0.058716463,-1.231240115,0.375,-0.425968732,1.95,0.290034611,0.267854628,-0.572100845,0.082456455,-1.08377534,7.86,0.895422546,79.7,1.901458321,4.37,0.640481437,1.05,0.021189299,0.106668482,-0.971963885,0.056129302,-1.250810358,0.071484397,-1.14578874,0.076097209,-1.118631269,1461.263792
Pumpkinseed,Down,Spring,Whole Body,8,0.903089987,0.096670247,-1.014707172,0.051743577,-1.286143554,0.039524309,-1.403135718,0.096670247,-1.014707172,0.096670247,-1.014707172,0.050681963,-1.295146574,1.61,0.206825876,4.03,0.605305046,0.058473772,-1.233038888,3.45,0.537819095,5.68,0.754348336,0.087281526,-1.05907767,0.164486678,-0.783869271,0.1279781,-0.892864343,3.78,0.5774918,0.241675618,-0.616767163,560,2.748188027,0.38,-0.420216403,0.471,-0.326979093,0.258440719,-0.587639059,0.146862452,-0.833089224,61,1.785329835,49.5,1.694605199,13.8,1.139879086,0.056419043,-1.248574283,8.85,0.946943271,0.063567313,-1.196766148,0.198509576,-0.702218538,0.044214676,-1.354433553,0.776,-0.110138279,0.083155859,-1.080107148,0.084475797,-1.073267703,1.67,0.222716471,31.9,1.503790683,2.81,0.44870632,0.029294014,-1.533221111,0.109280771,-0.961456248,0.057503897,-1.240302721,0.073235036,-1.135281103,0.077960815,-1.108123632,752.1017763
Pumpkinseed,Down,Spring,Whole Body,7.5,0.875061263,0.095744681,-1.018885344,0.05124816,-1.290321726,0.129181419,-0.88879995,0.02901354,-1.537399284,0.547,-0.262012674,0.05019671,-1.299324747,4.06,0.608526034,6.18,0.790988475,0.057913917,-1.237217061,4.12,0.614897216,3.74,0.572871602,0.086445852,-1.063255843,0.162911805,-0.788047444,0.126752778,-0.897042515,8.6,0.934498451,1.7,0.230448921,831,2.919601024,0.869,-0.060980224,0.549,-0.260427656,0.255966287,-0.591817232,0.145456323,-0.837267396,150,2.176091259,240,2.380211242,27.6,1.440909082,0.055878861,-1.252752455,0.072972703,-1.136839569,0.062958689,-1.200944321,0.05957847,-1.224910651,0.594,-0.226213555,1.6,0.204119983,0.082359686,-1.08428532,0.083666986,-1.077445876,12.4,1.093421685,13.5,1.130333768,0.632,-0.199282922,0.02901354,-1.537399284,0.108234466,-0.96563442,0.056953328,-1.244480894,0.072533849,-1.139459275,0.077214381,-1.112301805,1309.643196
Pumpkinseed,Down,Spring,Whole Body,7.5,0.875061263,0.095077118,-1.021923991,0.050890841,-1.293360373,0.128280724,-0.891838597,0.095077118,-1.021923991,0.417,-0.379863945,0.164494184,-0.783849454,1.2,0.079181246,2.51,0.399673721,0.057510122,-1.240255708,1.31,0.117271296,2.65,0.423245874,0.085843123,-1.066294489,0.161775932,-0.791086091,0.125869016,-0.900081162,5,0.698970004,0.237692795,-0.623983982,115,2.06069784,0.135492142,-0.868085891,0.194658795,-0.710725968,0.254181607,-0.594855879,0.04377035,-1.358819983,14,1.146128036,31.5,1.498310554,4.14,0.617000341,0.055489256,-1.255791102,0.072463913,-1.139878215,0.062519721,-1.203982967,0.05916307,-1.227949297,0.738,-0.131943638,0.148464705,-0.828376781,0.081785447,-1.087323967,0.083083633,-1.080484522,0.054356398,-1.264749327,0.191418887,-0.718015212,3.25,0.511883361,1.25,0.096910013,0.107479821,-0.968673067,0.056556231,-1.24751954,0.07202812,-1.142497922,0.076676018,-1.115340451,185.9170991
Pumpkinseed,Down,Spring,Whole Body,6.5,0.812913357,0.030671083,-1.513270884,0.178780692,-0.747679387,0.041382289,-1.383185491,0.101214575,-0.994756945,0.532,-0.274088368,0.64,-0.193820026,4.73,0.674861141,8.2,0.913813852,0.061222539,-1.213088661,1.37,0.136720567,3.34,0.523746467,0.091384504,-1.039127443,0.172218957,-0.763919044,0.133994164,-0.872914116,13.2,1.120573931,0.645,-0.190440285,912,2.959994838,0.84,-0.075720714,0.582,-0.235077015,0.270589642,-0.567688832,0.153766243,-0.813138997,60.4,1.781036939,80.4,1.905256049,19.8,1.29666519,0.059071221,-1.228624056,11.9,1.075546961,0.06655552,-1.176815921,0.062982189,-1.200782251,0.046293144,-1.334483326,2.92,0.465382851,0.287314153,-0.541642981,0.088446881,-1.053317476,0.190955275,-0.719068341,1.63,0.212187604,3.58,0.553883027,0.030671083,-1.513270884,0.114417902,-0.941506021,0.060207072,-1.220352494,0.076677708,-1.115330876,0.081625639,-1.088173405,1129.109442
Pumpkinseed,Down,Spring,Whole Body,4.75,0.67669361,0.100851636,-0.996317052,0.178139613,-0.749239494,0.136071866,-0.866231658,0.100851636,-0.996317052,0.411,-0.386158178,0.538,-0.269217724,3.76,0.575187845,5.88,0.769377326,0.061003005,-1.214648769,3.14,0.496929648,7.09,0.850646235,0.091056814,-1.040687551,0.171601408,-0.765479152,0.269,-0.57024772,32.1,1.506505032,1.1,0.041392685,877,2.942999593,0.735,-0.133712661,0.899,-0.046240308,0.269619352,-0.56924894,0.153214862,-0.814699104,35.8,1.553883027,27.6,1.440909082,6.88,0.837588438,0.058859401,-1.230184163,10.3,1.012837225,0.066316862,-1.178376029,0.062756345,-1.202342359,0.046127144,-1.336043433,2.22,0.346352974,0.286283891,-0.543203088,0.088129725,-1.054877584,0.63,-0.200659451,4.94,0.693726949,4.35,0.638489257,2.29,0.359835482,0.114007618,-0.943066128,0.059991179,-1.221912602,0.076402755,-1.116890983,0.081332943,-1.089733513,1030.134618
Pumpkinseed,Down,Spring,Whole Body,7,0.84509804,0.093710954,-1.028209642,0.05015959,-1.299646024,0.038314381,-1.416638188,0.093710954,-1.028209642,0.291,-0.536107011,0.162130565,-0.790135105,9.29,0.968015714,6.93,0.840733235,0.056683759,-1.246541359,3.77,0.57634135,11.4,1.056904851,0.084609642,-1.07258014,0.469,-0.328827157,0.124060403,-0.906366813,20.1,1.303196057,2.28,0.357934847,3330,3.522444234,2.11,0.324282455,1.59,0.201397124,0.250529268,-0.60114153,0.299,-0.524328812,100,2,82.5,1.916453949,42.6,1.629409599,0.05469193,-1.262076753,8.76,0.942504106,0.061621375,-1.210268619,0.058312955,-1.234234949,0.141441846,-0.849422083,1.23,0.089905111,0.266013895,-0.575095678,0.081889803,-1.086770174,4.77,0.678518379,36.8,1.565847819,2.96,0.471291711,3.99,0.600972896,0.105935442,-0.974958718,0.055743574,-1.253805191,0.070993147,-1.148783573,0.075574259,-1.121626102,3674.065128
Pumpkinseed,Down,Spring,Whole Body,8.5,0.929418926,0.027202002,-1.565399131,0.048048344,-1.318321573,0.036701707,-1.435313737,0.089766607,-1.046885191,0.285,-0.54515514,0.346,-0.460923901,3.5,0.544068044,6.01,0.778874472,0.054297907,-1.265216908,1.19,0.075546961,6.42,0.807535028,0.081048375,-1.091255689,0.152739973,-0.816047291,0.11883863,-0.925042362,5.8,0.763427994,1.8,0.255272505,879,2.943988875,1.76,0.245512668,1.99,0.298853076,1.02,0.008600172,0.13637437,-0.865267243,17.9,1.252853031,36.1,1.557507202,22.8,1.357934847,0.052389916,-1.280752302,0.068416458,-1.164839415,0.059027696,-1.228944167,0.05585853,-1.252910498,0.306,-0.514278574,1.19,0.075546961,0.25481722,-0.593771227,0.078443015,-1.105445723,15.9,1.201397124,5.5,0.740362689,0.043636551,-1.360149581,0.027202002,-1.565399131,0.101476559,-0.993634267,0.053397295,-1.27248074,0.068005005,-1.167459122,0.072393296,-1.140301651,1010.497081
Pumpkinseed,Down,Spring,Whole Body,9,0.954242509,0.02695,-1.56944123,0.04775,-1.321026624,0.0365,-1.437707136,0.02695,-1.56944123,0.207,-0.684029655,0,#NUM!,2.33,0.367355921,4.59,0.661812686,10.4,1.017033339,6.52,0.814247596,5.82,0.764922985,0.0805,-1.09420412,2.03,0.307496038,0.118,-0.928117993,4.42,0.645422269,0.645,-0.190440285,479,2.680335513,0.49,-0.30980392,2.06,0.31386722,0.2385,-0.622511617,0.1355,-0.868060705,0.089,-1.050609993,37.6,1.575187845,61.3,1.787460475,21.6,1.334453751,0.068,-1.167491087,0.1935,-0.713319031,0.0555,-1.255707017,0.04075,-1.389872387,0.139,-0.8569852,0.941,-0.026410377,0.078,-1.107905397,0.051,-1.292429824,0.879,-0.056011125,1.98,0.29666519,0.02695,-1.56944123,0.101,-0.995678626,0.053,-1.27572413,0.0675,-1.170696227,0.072,-1.142667504,644.55785
