Sample ID,SampleDate,Julian,Location,Seasonality,PFBA,log_PFBA,PFPeA,log_PFPeA,PFHxA,log_PFHxA,PFHpA,log_PFHpA,PFOA,log_PFOA,PFNA,log_PFNA,PFDA,log_PFDA,PFUnA,log_PFUnA,PFDoA,log_PFDoA,PFTrDA,log_PFTrDA,PFTeDA,log_PFTeDA,PFBS,log_PFBS,PFPeS,log_PFPeS,PFHxS,log_PFHxS,PFHpS,log_PFHpS,PFOS,log_PFOS,PFNS,log_PFNS,PFDS,log_PFDS,PFDoS,log_PFDoS,FourTwoFTS,log_FourTwoFTS,SixTwoFTS,log_SixTwoFTS,EightTwoFTS,log_EightTwoFTS,PFOSA,log_PFOSA,MeFOSA,log_MeFOSA,MeFOSAA,log_MeFOSAA,EtFOSAA,log_EtFOSAA,ADONA,log_ADONA,ThreeThreeFTCA,log_ThreeThreeFTCA,FiveThreeFTCA,log_FiveThreeFTCA,SevenThreeFTCA,log_SevenThreeFTCA,SumPFAS
JBA041-SED-SPILL-04022021,2-Apr-21,21092,Spill,Spring,0.08,-1.096910013,0.04,-1.397940009,0.17,-0.769551079,0.02,-1.698970004,0.332,-0.478861916,0.066,-1.180456064,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.33,-0.48148606,0.02,-1.698970004,0.972,-0.012333735,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,3.71
JBA044-SED-EXIT-04022021,2-Apr-21,21092,Exit,Spring,0.08,-1.096910013,0.04,-1.397940009,0.02,-1.698970004,0.02,-1.698970004,0.044,-1.356547324,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.082,-1.086186148,0.02,-1.698970004,0.653,-0.185086819,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.044,-1.356547324,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,2.683
JBA042-SED-RIPP-04022021,2-Apr-21,21092,Ripp,Spring,0.08,-1.096910013,0.106,-0.974694135,0.321,-0.493494968,0.038,-1.420216403,0.092,-1.036212173,0.05,-1.301029996,0.02,-1.698970004,0.037,-1.431798276,0.033,-1.48148606,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.19,-0.721246399,0.02,-1.698970004,1.04,0.017033339,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.151,-0.821023053,0.08,-1.096910013,0.18,-0.744727495,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,3.878
JBA043-SED-DOWN-04022021,2-Apr-21,21092,Down,Spring,0.08,-1.096910013,0.091,-1.040958608,0.28,-0.552841969,0.039,-1.408935393,0.127,-0.896196279,0.053,-1.27572413,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.49,-0.30980392,0.02,-1.698970004,1.71,0.23299611,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.455,-0.341988603,0.176,-0.754487332,0.142,-0.847711656,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,5.163
JBA073-SED-SPILL-04282021,28-Apr-21,21118,Spill,Spring,0.08,-1.096910013,0.091,-1.040958608,0.176,-0.754487332,0.04,-1.397940009,0.308,-0.511449283,0.055,-1.259637311,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.235,-0.628932138,0.02,-1.698970004,1,0,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,3.685
JBA076-SED-EXIT-04282021,28-Apr-21,21118,Exit,Spring,0.08,-1.096910013,0.04,-1.397940009,0.075,-1.124938737,0.02,-1.698970004,0.079,-1.102372909,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.211,-0.675717545,0.02,-1.698970004,0.693,-0.159266765,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.041,-1.387216143,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,2.939
JBA074-SED-RIPP-04282021,28-Apr-21,21118,Ripp,Spring,0.08,-1.096910013,0.173,-0.761953897,0.717,-0.144480844,0.045,-1.346787486,0.2,-0.698970004,0.039,-1.408935393,0.02,-1.698970004,0.043,-1.366531544,0.08,-1.096910013,0.05,-1.301029996,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.66,-0.180456064,0.02,-1.698970004,3.22,0.507855872,0.02,-1.698970004,0.047,-1.327902142,0.02,-1.698970004,0.08,-1.096910013,0.316,-0.500312917,0.08,-1.096910013,0.42,-0.37675071,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,7.61
JBA075-SED-DOWN-04282021,28-Apr-21,21118,Down,Spring,0.08,-1.096910013,0.086,-1.065501549,0.233,-0.632644079,0.02,-1.698970004,0.114,-0.943095149,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.039,-1.408935393,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.429,-0.367542708,0.02,-1.698970004,2.1,0.322219295,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.39,-0.408935393,0.152,-0.818156412,0.194,-0.71219827,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,5.357
JBA081-SED-SPILL-06142021,14-Jun-21,21165,Spill,Summer,0.08,-1.096910013,0.081,-1.091514981,0.161,-0.793174124,0.02,-1.698970004,0.292,-0.534617149,0.04,-1.397940009,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.244,-0.612610174,0.02,-1.698970004,0.812,-0.090443971,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,3.43
JBA084-SED-EXIT-06142021,14-Jun-21,21165,Exit,Summer,0.08,-1.096910013,0.04,-1.397940009,0.061,-1.214670165,0.02,-1.698970004,0.072,-1.142667504,0.061,-1.214670165,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.189,-0.723538196,0.02,-1.698970004,0.637,-0.195860568,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.08,-1.096910013,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.02,-1.698970004,0.08,-1.096910013,0.08,-1.096910013,0.5,-0.301029996,0.5,-0.301029996,2.86
