SampleID,SampleDate,Julian,Location,Seasonality,Precipitation,Temp,log_Temp,DO,log_DO,Cond,log_Cond,pH,log_pH,PFBA,log_PFBA,PFPrS,log_PFPrS,ThreeThreeFTCA,log_ThreeThreeFTCA,PFPeA,log_PFPeA,PFBS,log_PFBS,FourTwoFTS,log_FourTwoFTS,PFHxA,log_PFHxA,PFPeS,log_PFPeS,FiveThreeFTCA,log_FiveThreeFTCA,PFHpA,log_PFHpA,ADONA,log_ADONA,PFHxS,log_PFHxS,SixTwoFTS,log_SixTwoFTS,PFOA,log_PFOA,PFHpS,log_PFHpS,SevenThreeFTCA,log_SevenThreeFTCA,PFNA,log_PFNA,PFOSA,log_PFOSA,PFOS,log_PFOS,PFDA,log_PFDA,EightTwoFTS,log_EightTwoFTS,PFNS,log_PFNS,MeFOSAA,log_MeFOSAA,EtFOSAA,log_EtFOSAA,PFDS,log_PFDS,TenTwoFTS,log_TenTwoFTS,PFDoA,log_PFDoA,MeFOSA,log_MeFOSA,PFTrDA,log_PFTrDA,PFDoS,log_PFDoS,PFTeDA,log_PFTeDA,PFHxDA,log_PFHxDA,SumPFAS
JBA047-SW-SPILL-033021,30-Mar-21,21089,Spill,Spring,0,13.4,1.127104798,10.56,1.023663918,0.2465,-0.608183076,7.47,0.873320602,41,1.612783857,23.9,1.378397901,2.5,0.397940009,113,2.053078443,55.2,1.741939078,2,0.301029996,215,2.33243846,55.6,1.745074792,2.5,0.397940009,56,1.748188027,2,0.301029996,615,2.788875116,134,2.127104798,262,2.418301291,17.4,1.240549248,2.5,0.397940009,10.9,1.037426498,12.3,1.089905111,669,2.825426118,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2318.3
JBA048-SW-RIPP-033021,30-Mar-21,21089,Ripp,Spring,0,13.7,1.136720567,10.25,1.010723865,0.2387,-0.622147581,7.47,0.873320602,36.6,1.563481085,20.4,1.309630167,2.5,0.397940009,105,2.021189299,48.9,1.689308859,2,0.301029996,192,2.283301229,50.9,1.706717782,2.5,0.397940009,44.8,1.651278014,2,0.301029996,609,2.784617293,115,2.06069784,226,2.354108439,16,1.204119983,2.5,0.397940009,10.1,1.004321374,8.25,0.916453949,627,2.797267541,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2147.95
JBA049-SW-DOWN-033021,30-Mar-21,21089,Down,Spring,0,13.9,1.1430148,10.24,1.010299957,0.2291,-0.639974911,7.53,0.876794976,34.4,1.536558443,18.9,1.276461804,2.5,0.397940009,95.6,1.980457892,45.7,1.6599162,2,0.301029996,189,2.276461804,48.1,1.682145076,2.5,0.397940009,40.8,1.610660163,2,0.301029996,535,2.728353782,104,2.017033339,239,2.378397901,14.6,1.164352856,2.5,0.397940009,11.4,1.056904851,12.8,1.10720997,639,2.805500858,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2066.3
JBA050-SW-EXIT-033021,30-Mar-21,21089,Exit,Spring,0,13.9,1.1430148,10.5,1.021189299,0.23,-0.638272164,7.53,0.876794976,32.3,1.509202522,18.1,1.257678575,2.5,0.397940009,93,1.968482949,46,1.662757832,2,0.301029996,169,2.227886705,46.6,1.668385917,2.5,0.397940009,45.1,1.654176542,2,0.301029996,550,2.740362689,107,2.029383778,209,2.320146286,15.1,1.178976947,2.5,0.397940009,10.9,1.037426498,12.4,1.093421685,538,2.730782276,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,1930.5
JBA057-SW-SPILL-040721,7-Apr-21,21097,Spill,Spring,0.245,17.3,1.238046103,10.08,1.003460532,0.2424,-0.615467385,7.4,0.86923172,41.5,1.618048097,26.6,1.424881637,2.5,0.397940009,122,2.086359831,65.2,1.814247596,2,0.301029996,244,2.387389826,64.9,1.812244697,2.5,0.397940009,55.8,1.746634199,2,0.301029996,764,2.883093359,156,2.193124598,295,2.469822016,17.3,1.238046103,2.5,0.397940009,13.1,1.117271296,13.9,1.1430148,781,2.892651034,2,0.301029996,5.85,0.767155866,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2702.15
JBA058-SW-RIPP-040721,7-Apr-21,21097,Ripp,Spring,0.245,17.4,1.240549248,10.07,1.003029471,0.2414,-0.617262734,7.54,0.877371346,41.2,1.614897216,24.7,1.392696953,2.5,0.397940009,118,2.071882007,56.3,1.750508395,2,0.301029996,213,2.328379603,56.2,1.749736316,2.5,0.397940009,58.8,1.769377326,2,0.301029996,752,2.876217841,140,2.146128036,322,2.507855872,19.8,1.29666519,2.5,0.397940009,12.6,1.100370545,12.6,1.100370545,854,2.931457871,2,0.301029996,5.41,0.733197265,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2722.61
JBA059-SW-DOWN-040721,7-Apr-21,21097,Down,Spring,0.245,17.5,1.243038049,8.72,0.940516485,0.2411,-0.61780279,7.55,0.877946952,42.3,1.626340367,25.1,1.399673721,2.5,0.397940009,126,2.100370545,60.9,1.784617293,2,0.301029996,237,2.374748346,66.3,1.821513528,2.5,0.397940009,58.6,1.767897616,2,0.301029996,793,2.899273187,164,2.214843848,317,2.501059262,19.2,1.283301229,2.5,0.397940009,12.3,1.089905111,15.3,1.184691431,789,2.897077003,2,0.301029996,6.91,0.839478047,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2768.91
JBA060-SW-EXIT-040721,7-Apr-21,21097,Exit,Spring,0.245,17.4,1.240549248,9.63,0.983626287,0.2412,-0.617622697,7.58,0.879669206,41.5,1.618048097,24.2,1.383815366,2.5,0.397940009,118,2.071882007,63.3,1.80140371,2,0.301029996,215,2.33243846,58.7,1.768638101,2.5,0.397940009,52.4,1.719331287,2,0.301029996,693,2.840733235,137,2.136720567,297,2.472756449,16.5,1.217483944,2.5,0.397940009,13,1.113943352,16.8,1.225309282,785,2.894869657,2,0.301029996,6.44,0.808885867,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2573.84
JBA067-SW-SPILL-04132021,13-Apr-21,21103,Spill,Spring,0.105,12.4,1.093421685,9.11,0.959518377,0.2542,-0.594824454,7.51,0.875639937,38.3,1.583198774,26.7,1.426511261,2.5,0.397940009,122,2.086359831,64.9,1.812244697,2,0.301029996,229,2.359835482,65.5,1.8162413,2.5,0.397940009,53.6,1.72916479,2,0.301029996,662,2.820857989,127,2.103803721,280,2.447158031,22.1,1.344392274,2.5,0.397940009,13.4,1.127104798,7,0.84509804,695,2.841984805,2,0.301029996,7.49,0.874481818,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2449.99
JBA068-SW-RIPP-04132021,13-Apr-21,21103,Ripp,Spring,0.105,12.5,1.096910013,8.7,0.939519253,0.2557,-0.592269272,7.44,0.871572936,37.7,1.57634135,22.3,1.348304863,2.5,0.397940009,120,2.079181246,66.4,1.822168079,2,0.301029996,224,2.350248018,63.1,1.800029359,2.5,0.397940009,55.2,1.741939078,2,0.301029996,649,2.812244697,132,2.120573931,296,2.471291711,23.1,1.36361198,2.5,0.397940009,11.5,1.06069784,2,0.301029996,689,2.838219222,2,0.301029996,6.74,0.828659897,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2434.04
JBA069-SW-DOWN-04132021,13-Apr-21,21103,Down,Spring,0.105,12.6,1.100370545,8.35,0.921686475,0.2537,-0.595679533,7.41,0.869818208,38.6,1.586587305,21.6,1.334453751,2.5,0.397940009,115,2.06069784,61.7,1.790285164,2,0.301029996,222,2.346352974,58.2,1.764922985,2.5,0.397940009,53.5,1.728353782,2,0.301029996,650,2.812913357,135,2.130333768,255,2.40654018,19.4,1.28780173,2.5,0.397940009,11.4,1.056904851,5,0.698970004,698,2.843855423,2,0.301029996,7.2,0.857332496,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2387.6
JBA070-SW-EXIT-04132021,13-Apr-21,21103,Exit,Spring,0.105,12.6,1.100370545,8.82,0.945468585,0.2538,-0.595508382,7.48,0.873901598,36.1,1.557507202,20.4,1.309630167,2.5,0.397940009,121,2.08278537,64.4,1.808885867,2,0.301029996,231,2.36361198,61.1,1.78604121,2.5,0.397940009,54.7,1.737987326,2,0.301029996,689,2.838219222,129,2.11058971,256,2.408239965,18,1.255272505,2.5,0.397940009,12.3,1.089905111,9.37,0.971739591,683,2.834420704,2,0.301029996,7.35,0.866287339,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2428.72
JBA077-SW-SPILL-042221,22-Apr-21,21112,Spill,Spring,0,10.2,1.008600172,9.5,0.977723605,0.2525,-0.597738618,7.31,0.863917377,47.3,1.674861141,27.4,1.437750563,2.5,0.397940009,137,2.136720567,71.7,1.855519156,2,0.301029996,286,2.456366033,69.9,1.844477176,2.5,0.397940009,59.6,1.77524626,2,0.301029996,815,2.911157609,169,2.227886705,329,2.517195898,18.3,1.26245109,2.5,0.397940009,10.6,1.025305865,11,1.041392685,734,2.86569606,2,0.301029996,7,0.84509804,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2828.8
JBA078-SW-RIPP-042221,22-Apr-21,21112,Ripp,Spring,0,9.8,0.991226076,9.2,0.963787827,0.2528,-0.59722293,7.53,0.876794976,42.9,1.632457292,31,1.491361694,2.5,0.397940009,125,2.096910013,75.2,1.876217841,2,0.301029996,222,2.346352974,78.5,1.894869657,2.5,0.397940009,55.2,1.741939078,2,0.301029996,704,2.847572659,147,2.167317335,299,2.475671188,17.5,1.243038049,2.5,0.397940009,11.4,1.056904851,7.92,0.898725182,721,2.857935265,2,0.301029996,5.15,0.711807229,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2578.77
JBA079-SW-DOWN-042221,22-Apr-21,21112,Down,Spring,0,9.7,0.986771734,9.34,0.970346876,0.2505,-0.60119227,7.43,0.870988814,45.5,1.658011397,26.7,1.426511261,2.5,0.397940009,127,2.103803721,65.6,1.816903839,2,0.301029996,247,2.392696953,67.7,1.830588669,2.5,0.397940009,59.2,1.772321707,2,0.301029996,777,2.890421019,156,2.193124598,343,2.53529412,23.3,1.367355921,2.5,0.397940009,11.6,1.064457989,12.6,1.100370545,782,2.893206753,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2782.2
JBA080-SW-EXIT-042221,22-Apr-21,21112,Exit,Spring,0,9.7,0.986771734,9.12,0.959994838,0.2535,-0.596022036,7.51,0.875639937,47.1,1.673020907,29.3,1.46686762,2.5,0.397940009,132,2.120573931,69.4,1.84135947,4.14,0.617000341,270,2.431363764,66.4,1.822168079,2.5,0.397940009,59,1.770852012,2,0.301029996,799,2.902546779,167,2.222716471,287,2.457881897,19.9,1.298853076,2.5,0.397940009,12,1.079181246,16.5,1.217483944,881,2.944975908,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2895.74
JBA087-SW-SPILL-042621,26-Apr-21,21116,Spill,Spring,0,11.8,1.071882007,9.23,0.965201701,0.2098,-0.678194516,7.54,0.877371346,31,1.491361694,18.1,1.257678575,2.5,0.397940009,87.7,1.942999593,40.8,1.610660163,2,0.301029996,174,2.240549248,40.1,1.603144373,2.5,0.397940009,40.3,1.605305046,2,0.301029996,492,2.691965103,105,2.021189299,183,2.26245109,12.7,1.103803721,2.5,0.397940009,8.64,0.936513742,13.5,1.130333768,530,2.72427587,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,1814.84
JBA088-SW-RIPP-042621,26-Apr-21,21116,Ripp,Spring,0,11.9,1.075546961,9.47,0.976349979,0.2204,-0.65678841,7.57,0.87909588,34,1.531478917,17.1,1.23299611,2.5,0.397940009,92.4,1.965671971,42.1,1.624282096,2,0.301029996,162,2.209515015,48.2,1.683047038,2.5,0.397940009,41.1,1.613841822,2,0.301029996,532,2.725911632,126,2.100370545,195,2.290034611,13.2,1.120573931,2.5,0.397940009,9.85,0.99343623,10.9,1.037426498,629,2.798650645,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,1990.85
JBA089-SW-DOWN-042621,26-Apr-21,21116,Down,Spring,0,11.8,1.071882007,9.1,0.959041392,0.2256,-0.646660905,7.54,0.877371346,34.7,1.540329475,19.5,1.290034611,2.5,0.397940009,97.9,1.990782692,42.7,1.630427875,2,0.301029996,175,2.243038049,47,1.672097858,2.5,0.397940009,42.5,1.62838893,2,0.301029996,605,2.781755375,126,2.100370545,199,2.298853076,11.6,1.064457989,2.5,0.397940009,9.88,0.994756945,14.4,1.158362492,649,2.812244697,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2112.18
JBA090-SW-EXIT-042621,26-Apr-21,21116,Exit,Spring,0,11.8,1.071882007,9.03,0.95568775,0.2333,-0.632085261,7.51,0.875639937,38.6,1.586587305,22.1,1.344392274,2.5,0.397940009,101,2.004321374,50.7,1.705007959,2,0.301029996,177,2.247973266,46.6,1.668385917,2.5,0.397940009,47.1,1.673020907,2,0.301029996,561,2.748962861,125,2.096910013,221,2.344392274,13.4,1.127104798,2.5,0.397940009,9.86,0.993876915,9.95,0.997823081,639,2.805500858,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2100.31
JBA-092-SW-SPILL-042821,28-Apr-21,21118,Spill,Spring,0,13.8,1.139879086,8.4,0.924279286,0.2542,-0.594824454,7.4,0.86923172,44,1.643452676,28.7,1.457881897,2.5,0.397940009,135,2.130333768,73.5,1.866287339,2,0.301029996,243,2.385606274,65.6,1.816903839,2.5,0.397940009,58,1.763427994,2,0.301029996,785,2.894869657,165,2.217483944,291,2.463892989,21.1,1.324282455,2.5,0.397940009,12.4,1.093421685,14.3,1.155336037,766,2.88422877,2,0.301029996,6.61,0.820201459,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2745.21
JBA-093-SW-RIPP-042821,28-Apr-21,21118,Ripp,Spring,0,14.3,1.155336037,7.78,0.890979597,0.251,-0.600326279,7.36,0.866877814,40.6,1.608526034,26.4,1.421603927,2.5,0.397940009,120,2.079181246,60.3,1.780317312,2,0.301029996,218,2.338456494,57.7,1.761175813,2.5,0.397940009,49.9,1.698100546,2,0.301029996,726,2.860936621,147,2.167317335,270,2.431363764,17.5,1.243038049,2.5,0.397940009,10.9,1.037426498,8.99,0.953759692,719,2.85672889,2,0.301029996,5.5,0.740362689,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2513.79
JBA-094-SW-DOWN-042821,28-Apr-21,21118,Down,Spring,0,14.3,1.155336037,8.15,0.911157609,0.2534,-0.596193389,7.49,0.874481818,41.7,1.620136055,26.3,1.419955748,2.5,0.397940009,122,2.086359831,61.3,1.787460475,2,0.301029996,238,2.376576957,64,1.806179974,2.5,0.397940009,55,1.740362689,2,0.301029996,751,2.875639937,147,2.167317335,272,2.434568904,20.1,1.303196057,2.5,0.397940009,11,1.041392685,11.6,1.064457989,731,2.863917377,2,0.301029996,7.94,0.899820502,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2595.94
JBA-095-SW-EXIT-042821,28-Apr-21,21118,Exit,Spring,0,14.2,1.152288344,7.72,0.8876173,0.2533,-0.59636481,7.36,0.866877814,40.4,1.606381365,24.1,1.382017043,2.5,0.397940009,116,2.064457989,65.6,1.816903839,2,0.301029996,221,2.344392274,57.1,1.756636108,2.5,0.397940009,53.8,1.730782276,2,0.301029996,736,2.866877814,151,2.178976947,284,2.45331834,19.4,1.28780173,2.5,0.397940009,10.7,1.029383778,14.9,1.173186268,707,2.849419414,2,0.301029996,5.95,0.774516966,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2542.95
JBA097-SW-SPILL-06142021,14-Jun-21,21165,Spill,Summer,0,20,1.301029996,6.71,0.82672252,0.2754,-0.560036064,7.59,0.880241776,47.7,1.678518379,31.8,1.50242712,2.5,0.397940009,139,2.1430148,82.2,1.914871818,2,0.301029996,260,2.414973348,70.2,1.846337112,2.5,0.397940009,59.6,1.77524626,2,0.301029996,836,2.922206277,159,2.201397124,272,2.434568904,22.2,1.346352974,2.5,0.397940009,11.2,1.049218023,12.4,1.093421685,829,2.918554531,2,0.301029996,7.27,0.861534411,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2.5,0.397940009,2,0.301029996,2,0.301029996,2,0.301029996,2,0.301029996,2875.57
