"Sample_ID","Sampling_Date","Matrix","Dilution_Factor","Units","Analyte","CAS","Result Value","Q","LOQ","LOD","DL"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorobutanoic acid (PFBA)","375-22-4","2.6","U H3 cn","4.7","2.6","1.3"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluoropentanoic acid (PFPeA)","2706-90-3","1.4","U H3 cn","2.3","1.4","0.70"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorohexanoic acid (PFHxA)","307-24-4","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluoroheptanoic acid (PFHpA)","375-85-9","1.9","U H3 cn","2.3","1.9","0.94"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorooctanoic acid (PFOA)","335-67-1","2.1","U H3 cn","2.3","2.1","1.1"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorononanoic acid (PFNA)","375-95-1","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorodecanoic acid (PFDA)","335-76-2","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluoroundecanoic acid (PFUnA)","2058-94-8","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorododecanoic acid (PFDoA)","307-55-1","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorotridecanoic acid (PFTrDA)","72629-94-8","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorotetradecanoic acid (PFTeDA)","376-06-7","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorobutanesulfonic acid (PFBS)","375-73-5","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluoropentanesulfonic acid (PFPeS)","2706-91-4","1.2","U H3 cn","2.3","1.2","0.59"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluorohexanesulfonic acid (PFHxS)","355-46-4","1.9","U H3 cn","2.3","1.9","0.94"
"WG062-SW-FB-020921","02/09/2021 00:00:00","Water","1","ng/L","Perfluoroheptanesulfonic acid (PFHpS)","375-92-8","1.2","U H3 cn","2.3","1.2","0.59"
