Sample ID,Location,Sample Date,Common Name,Genus,Species,Sex,Tissue,Length,log_Length,Weight,log_Weight,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFPrS,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,Cl-PFOS,PFEtCHxS,FBSA,FHxSA,FOSA,N-MeFOSA,N-EtFOSA,FOSAA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,10:2 FTS,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,HFPO-DA,6:2 diPAP,8:2 diPAP,diSAmPAP,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFHxDA,log_PFPrS,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_PFNS,log_PFDS,log_PFDoS,log_Cl-PFOS,log_PFEtCHxS,log_FBSA,log_FHxSA,log_FOSA,log_N-MeFOSA,log_N-EtFOSA,log_FOSAA,log_N-MeFOSAA,log_N-EtFOSAA,log_4:2 FTS,log_6:2 FTS,log_8:2 FTS,log_10:2 FTS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_6:2 FTCA,log_8:2 FTCA,log_10:2 FTCA,log_6:2 FTUCA,log_8:2 FTUCA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_HFPO-DA,log_6:2 diPAP,log_8:2 diPAP,log_diSAmPAP
BK001-JBA-08132021,Spill,4/28/2021 0:00,Banded Killifish,Fundulus,diaphanus,U,Whole Body,9,0.954242509,6.75,0.829303773,0.217,0.04635,0.117,0.087,1.83,4.39,6.11,7.39,7.73,2.49,5.78,0.0785,0.05,0.1475,0.779,35.1,5.23,1670,3.25,4.49,2.91,0.482,0.487,25.3,105,48,0.0505,0.0765,0.052,0.82,0.057,0.054,0.822,6.73,0.591,0.076,12.4,9.48,0.066,0.066,1.82,0.0515,0.0397,0.066,0.066,0.066,0.094,0.07,0.087,0.1155,1971.30805,-0.663540266,-1.333950262,-0.931814138,-1.060480747,0.26245109,0.64246452,0.78604121,0.868644438,0.888179494,0.396199347,0.761927838,-1.105130343,-1.301029996,-0.83120798,-0.108462542,1.545307116,0.718501689,3.222716471,0.511883361,0.652246341,0.463892989,-0.316952962,-0.312471039,1.403120521,2.021189299,1.681241237,-1.296708622,-1.116338565,-1.283996656,-0.086186148,-1.244125144,-1.26760624,-0.085128182,0.828015064,-0.228412519,-1.119186408,1.093421685,0.976808337,-1.180456064,-1.180456064,0.260071388,-1.288192771,-1.401209493,-1.180456064,-1.180456064,-1.180456064,-1.026872146,-1.15490196,-1.060480747,-0.937418016
BRS001-JBA-08132021,Down,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,8,0.903089987,4.25,0.62838893,0.086638429,0.049367975,0.116895007,0.086638429,0.546,0.512,4.59,5.93,0.05578918,1.98,3.19,0.08327434,0.053309632,0.422,0.114697354,11.6,2.77,872,1.15,0.915,0.231621399,0.131622009,0.351,22.6,158,42.7,0.053828786,0.081538563,0.055076153,13.3,0.188003326,0.057392665,0.13076699,2.5,0.079338086,0.080597424,0.451,2.82,2.97,0.193,0.104263577,0.054863833,0.042224412,0.069872738,0.048499132,0.055059057,0.100269376,0.074381552,0.092638255,0.12297602,1153.991444,-1.062289432,-1.306554686,-0.932204038,-1.062289432,-0.262807357,-0.290730039,0.661812686,0.773054693,-1.253450021,0.29666519,0.503790683,-1.079488803,-1.273194316,-0.374687549,-0.940446603,1.064457989,0.442479769,2.940516485,0.06069784,-0.038578906,-0.635221319,-0.880671484,-0.454692884,1.354108439,2.198657087,1.630427875,-1.268985415,-1.088636948,-1.259036404,1.123851641,-0.725834468,-1.241143611,-0.883501873,0.397940009,-1.10051828,-1.093678836,-0.345823458,0.450249108,0.472756449,-0.714442691,-0.98186738,-1.260713854,-1.374436386,-1.155692236,-1.314266037,-1.259171229,-0.99883169,-1.128534765,-1.033209632,-0.910179568
BRS002-JBA-08132021,Spill,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,8,0.903089987,5.25,0.720159303,0.0282,0.0497,0.1255,0.0282,0.65,0.672,6.92,7.31,10.7,4.09,4.23,0.084,0.0535,0.158,0.123,17.6,4.19,1050,1.25,7.88,0.2485,0.141,0.373,24.1,91,38.3,0.054,0.082,0.0555,0.2335,0.061,0.0575,0.41,3.64,0.08,0.081,1.44,18,0.04515,0.0282,0.105,0.0555,0.0426,0.0705,0.0488,0.0555,0.101,0.075,0.0935,0.124,1295.34385,-1.549750892,-1.303643611,-0.901356274,-1.549750892,-0.187086643,-0.172630727,0.840106094,0.863917377,1.029383778,0.611723308,0.626340367,-1.075720714,-1.271646218,-0.801342913,-0.910094889,1.245512668,0.622214023,3.021189299,0.096910013,0.896526217,-0.604673607,-0.850780887,-0.428291168,1.382017043,1.959041392,1.583198774,-1.26760624,-1.086186148,-1.255707017,-0.631713115,-1.214670165,-1.240332155,-0.387216143,0.561101384,-1.096910013,-1.091514981,0.158362492,1.255272505,-1.345342245,-1.549750892,-0.978810701,-1.255707017,-1.370590401,-1.151810883,-1.311580178,-1.255707017,-0.995678626,-1.124938737,-1.029188389,-0.906578315
BRS003-JBA-08132021,Spill,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,8,0.903089987,4.95,0.694605199,0.0268,0.0474,0.1195,0.0268,0.654,0.727,4.91,7.36,6.69,3.11,2.7,0.08,0.051,0.1505,0.117,15,4.28,700,0.742,3.59,0.2365,0.1345,0.441,22.7,68.7,34.4,0.0515,0.0785,0.053,0.2225,0.058,0.055,0.461,4.52,0.2515,0.0775,0.0505,0.993,0.04305,0.0268,0.1,0.0525,0.0406,0.067,0.0465,0.053,0.096,0.0715,0.089,0.118,884.66995,-1.571865206,-1.324221658,-0.922632095,-1.571865206,-0.184422252,-0.138465589,0.691081492,0.866877814,0.825426118,0.492760389,0.431363764,-1.096910013,-1.292429824,-0.8224635,-0.931814138,1.176091259,0.631443769,2.84509804,-0.129596095,0.555094449,-0.626168855,-0.871277716,-0.355561411,1.356025857,1.836956737,1.536558443,-1.288192771,-1.105130343,-1.27572413,-0.652669985,-1.236572006,-1.259637311,-0.336299075,0.655138435,-0.599462011,-1.110698297,-1.296708622,-0.003050752,-1.366026844,-1.571865206,-1,-1.279840697,-1.391473966,-1.173925197,-1.332547047,-1.27572413,-1.017728767,-1.145693958,-1.050609993,-0.928117993
BRS004-JBA-08132021,Spill,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,8,0.903089987,5.85,0.767155866,0.0291,0.0515,0.03925,0.096,0.483,0.736,4.12,8.18,5.33,1.64,2.8,0.0865,0.0555,0.163,0.127,15.6,2.31,618,0.552,2.02,0.2565,0.1455,0.293,38.4,117,28.2,0.056,0.085,0.0575,0.073,0.063,0.0595,0.145,3.14,0.0825,0.084,0.181,5.33,0.04665,0.0291,0.1085,0.057,0.04395,0.0725,0.0505,0.0575,0.104,0.0775,0.0965,0.128,856.94205,-1.536107011,-1.288192771,-1.406160339,-1.017728767,-0.316052869,-0.133122186,0.614897216,0.912753304,0.726727209,0.214843848,0.447158031,-1.062983893,-1.255707017,-0.787812396,-0.896196279,1.193124598,0.36361198,2.790988475,-0.258060922,0.305351369,-0.590912631,-0.837137007,-0.53313238,1.584331224,2.068185862,1.450249108,-1.251811973,-1.070581074,-1.240332155,-1.13667714,-1.200659451,-1.225483034,-0.838631998,0.496929648,-1.083546051,-1.075720714,-0.742321425,0.726727209,-1.331148352,-1.536107011,-0.964570262,-1.244125144,-1.357041121,-1.139661993,-1.296708622,-1.240332155,-0.982966661,-1.110698297,-1.015472687,-0.89279003
BRS005-JBA-08132021,Spill,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,8,0.903089987,5.4,0.73239376,0.22,0.0471,0.1185,0.088,0.646,0.644,2.15,2.11,3.05,1.12,1.75,0.0795,0.051,0.15,0.1165,11.5,2.86,513,0.969,0.651,0.2355,0.1335,0.267,10.3,113,32.4,0.0515,0.078,0.0525,0.2215,0.191,0.0545,1.48,2.19,0.25,0.077,0.767,2.55,0.22,1.34,0.3285,0.0525,0.0403,0.0665,0.0665,0.0665,0.0955,0.071,0.0885,0.1175,708.1729,-0.657577319,-1.326979093,-0.92628165,-1.055517328,-0.189767482,-0.191114133,0.33243846,0.324282455,0.484299839,0.049218023,0.243038049,-1.099632871,-1.292429824,-0.823908741,-0.933674075,1.06069784,0.456366033,2.710117365,-0.013676223,-0.186419011,-0.628009089,-0.874518734,-0.573488739,1.012837225,2.053078443,1.51054501,-1.288192771,-1.107905397,-1.279840697,-0.654626269,-0.718966633,-1.263603498,0.170261715,0.340444115,-0.602059991,-1.113509275,-0.115204636,0.40654018,-0.657577319,0.127104798,-0.483464626,-1.279840697,-1.394694954,-1.177178355,-1.177178355,-1.177178355,-1.019996628,-1.148741651,-1.053056729,-0.929962133
BRS006-JBA-08132021,Spill,4/28/2021 0:00,Darter sp.,Etheostoma,fusiforme,U,Whole Body,7,0.84509804,4.6,0.662757832,0.0695,0.1625,0.03775,0.092,0.603,1.12,3.86,4.93,9.47,3.72,4.15,0.083,0.053,0.1565,0.122,14.8,4.6,1070,1.22,0.843,0.246,0.14,0.477,22,150,48.4,0.054,0.0815,0.055,0.2315,0.2,0.0575,0.371,4.14,0.2615,0.0805,0.23,1.81,0.23,1.13,0.3435,0.055,0.0421,0.0695,0.0695,0.0695,0.1,0.074,0.0925,0.1225,1351.32585,-1.158015195,-0.789146635,-1.423083044,-1.036212173,-0.219682688,0.049218023,0.586587305,0.692846919,0.976349979,0.57054294,0.618048097,-1.080921908,-1.27572413,-0.805485658,-0.913640169,1.170261715,0.662757832,3.029383778,0.086359831,-0.074172425,-0.609064893,-0.853871964,-0.321481621,1.342422681,2.176091259,1.684845362,-1.26760624,-1.088842391,-1.259637311,-0.635449005,-0.698970004,-1.240332155,-0.43062609,0.617000341,-0.582528307,-1.09420412,-0.638272164,0.257678575,-0.638272164,0.053078443,-0.464073259,-1.259637311,-1.375717904,-1.158015195,-1.158015195,-1.158015195,-1,-1.13076828,-1.033858267,-0.911863911
CC001-JBA-08132021,Down,4/28/2021 0:00,Dace. Sp,Clinostomus,funduloides,U,Whole Body,5,0.698970004,3.6,0.556302501,0.028338245,0.050055351,0.038234758,0.089003165,0.91,3.36,8.33,11.1,0.056565962,3.22,8.85,0.084433812,0.05405189,0.151440958,0.346,41.1,3.11,1540,1.09,2.23,1.37,0.421,0.199,16.6,53.5,13.3,0.054578272,0.082673867,0.055843007,0.071274252,0.061493317,0.058191773,0.328,6.98,0.544,0.081719625,3.91,5.19,0.045459275,0.028338245,0.105715293,0.055627731,0.042812325,0.070845613,0.049174411,0.055825673,0.101665479,0.075417205,0.093928106,0.124688279,1727.855396,-1.547627045,-1.300549487,-1.417541651,-1.050594551,-0.040958608,0.526339277,0.920645001,1.045322979,-1.247444822,0.507855872,0.946943271,-1.073483603,-1.267189116,-0.819756651,-0.460923901,1.613841822,0.492760389,3.187520721,0.037426498,0.348304863,0.136720567,-0.375717904,-0.701146924,1.220108088,1.728353782,1.123851641,-1.262980216,-1.082631749,-1.253031204,-1.147067329,-1.211172082,-1.235138412,-0.484126156,0.843855423,-0.2644011,-1.087673637,0.592176757,0.715167358,-1.342377495,-1.547627045,-0.975862181,-1.254708654,-1.368431187,-1.149687036,-1.308260838,-1.253166029,-0.99282649,-1.122529565,-1.027204433,-0.904174368
CC002-JBA-08132021,Down,4/28/2021 0:00,Dace. Sp,Clinostomus,funduloides,U,Whole Body,8,0.903089987,5.45,0.736396502,0.026970656,0.047639705,0.036389568,0.026970656,0.959,2.82,6.63,17.8,0.181390317,3.22,7.99,0.080359079,0.051443373,0.045891199,0.539,45,11.9,1550,2.31,7.07,4.06,0.639,1.16,15.5,67.2,10.7,0.051944353,0.078684068,0.053148052,0.067834593,0.05852568,0.055383467,0.040707935,5.67,0.88,0.077775877,1.79,1.66,2.77,0.59,0.100613527,0.052943165,0.040746224,0.06742664,0.046801278,0.053131555,0.096759154,0.071777609,0.089395184,0.118670886,1770.576324,-1.569108491,-1.322030934,-1.439023097,-1.569108491,-0.018181393,0.450249108,0.821513528,1.250420002,-0.741385899,0.507855872,0.902546779,-1.09496505,-1.288670563,-1.338270591,-0.268411235,1.653212514,1.075546961,3.190331698,0.36361198,0.849419414,0.608526034,-0.194499142,0.064457989,1.190331698,1.827369273,1.029383778,-1.284461663,-1.104113195,-1.274512651,-1.168548776,-1.232653528,-1.256619858,-1.390320933,0.753583059,-0.055517328,-1.109155083,0.252853031,0.220108088,0.442479769,-0.229147988,-0.997343628,-1.276190101,-1.389912634,-1.171168483,-1.329742284,-1.274647476,-1.014307937,-1.144011012,-1.04868588,-0.925655815
CC003-JBA-08132021,Down,4/28/2021 0:00,Dace. Sp,Clinostomus,funduloides,U,Whole Body,8,0.903089987,8.15,0.911157609,0.027537083,0.048640216,0.037153808,0.09039775,0.686,0.987,4.85,8.71,0.180442919,5.87,5.2,0.082046749,0.052523767,0.153813878,0.511,45.8,3.31,1120,1.11,2.3,1.1,0.332,0.254,11.3,36.9,7.13,0.053035268,0.080336561,0.054264247,0.069259229,0.059754814,0.05654661,0.041562867,4.59,0.256608823,0.079409296,0.051952511,2.23,0.044174077,0.027537083,0.102726573,0.054055057,0.04160196,0.068842708,0.047784181,0.054247403,0.098791253,0.073285055,0.091272627,0.121163166,1265.470768,-1.560082062,-1.313004504,-1.429996668,-1.043842378,-0.163675884,-0.005682847,0.685741739,0.940018155,-0.743660156,0.768638101,0.716003344,-1.085938621,-1.279644133,-0.813004478,-0.2915791,1.660865478,0.519827994,3.049218023,0.045322979,0.361727836,0.041392685,-0.478861916,-0.595166283,1.053078443,1.567026366,0.85308953,-1.275435233,-1.095086766,-1.265486222,-1.159522347,-1.223627099,-1.247593429,-1.381294504,0.661812686,-0.590728415,-1.100128654,-1.284393458,0.348304863,-1.354832512,-1.560082062,-0.988317198,-1.267163672,-1.380886204,-1.162142053,-1.320715855,-1.265621047,-1.005281507,-1.134984583,-1.03965945,-0.916629386
