SampleID,SampleDate,Julian,Location,Seasonality,Precipitation,Temp,log_Temp,DO,log_DO,Cond,log_Cond,pH,log_pH,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,4:2 FTS,6:2 FTS,8:2 FTS,N-MeFOSAA,N-EtFOSAA,FOSA,N-MeFOSA,N-EtFOSA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFEESA,PFMBA,PFMPA,NFDHA,PFHxDA,PFODA,10:2 FTS,MeFOSAA,EtFOSAA,PFOSA,MeFOSA,EtFOSA,MeFOSE,EtFOSE,PFPrS,PFecHS,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_6:2 FTS,log_8:2 FTS,log_N-MeFOSAA,log_N-EtFOSAA,log_FOSA,log_N-MeFOSA,log_N-EtFOSA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_PFEESA,log_PFMBA,log_PFMPA,log_NFDHA,log_PFHxDA,log_PFODA,log_10:2 FTS,log_MeFOSAA,log_EtFOSAA,log_PFOSA,log_MeFOSA,log_EtFOSA,log_MeFOSE,log_EtFOSE,log_PFPrS,log_PFecHS
JBA002-SW-SPILL-11172020,11/17/2020 0:00,20322,Spill,Winter,0,12.4,1.093421685,4.93,0.692846919,,,,,31,100,160,62,280,14,0.93,0.495,0.495,0.495,0.495,51,61,560,15,520,0.495,0.6,0.495,2.7,120,6,0.6,0.9,10,0.95,0.9,4.85,9,0.495,0.8,1.4,1.3,2.5,6,4.95,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2036.645,1.491361694,2,2.204119983,1.792391689,2.447158031,1.146128036,-0.031517051,-0.305394801,-0.305394801,-0.305394801,-0.305394801,1.707570176,1.785329835,2.748188027,1.176091259,2.716003344,-0.305394801,-0.22184875,-0.305394801,0.431363764,2.079181246,0.77815125,-0.22184875,-0.045757491,1,-0.022276395,-0.045757491,0.685741739,0.954242509,-0.305394801,-0.096910013,0.146128036,0.113943352,0.397940009,0.77815125,0.694605199,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA003-SW-RIPP-11172020,11/17/2020 0:00,20322,Ripp,Winter,0,12.1,1.08278537,5.18,0.71432976,,,,,14,45,79,33,190,8.8,0.78,0.5,0.5,0.5,0.5,23,35,490,12,460,0.5,0.6,0.5,2,100,4.1,0.6,0.9,11,0.95,0.9,4.95,9,0.5,0.8,1.4,1.3,2.5,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,1550.88,1.146128036,1.653212514,1.897627091,1.51851394,2.278753601,0.944482672,-0.107905397,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.361727836,1.544068044,2.69019608,1.079181246,2.662757832,-0.301029996,-0.22184875,-0.301029996,0.301029996,2,0.612783857,-0.22184875,-0.045757491,1.041392685,-0.022276395,-0.045757491,0.694605199,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.397940009,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA004-SW-DOWN-11172020,11/17/2020 0:00,20322,Down,Winter,0,12.7,1.103803721,5.45,0.736396502,,,,,36,130,180,60,260,15,1.1,0.49,0.49,0.49,0.49,66,66,610,18,660,0.49,0.6,0.49,3.3,160,8.9,0.6,0.9,9.5,0.95,0.9,4.8,9,0.49,0.8,1.35,1.3,2.45,6,4.9,1.45,1.25,1.25,0.8,,,,,,,,,,,,,2326.53,1.556302501,2.113943352,2.255272505,1.77815125,2.414973348,1.176091259,0.041392685,-0.30980392,-0.30980392,-0.30980392,-0.30980392,1.819543936,1.819543936,2.785329835,1.255272505,2.819543936,-0.30980392,-0.22184875,-0.30980392,0.51851394,2.204119983,0.949390007,-0.22184875,-0.045757491,0.977723605,-0.022276395,-0.045757491,0.681241237,0.954242509,-0.30980392,-0.096910013,0.130333768,0.113943352,0.389166084,0.77815125,0.69019608,0.161368002,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA005-SW-EXIT-11172020,11/17/2020 0:00,20322,Exit,Winter,0,12.2,1.086359831,5.46,0.737192643,,,,,35,110,180,58,240,14,1.2,0.49,0.49,0.49,0.49,54,59,590,0.49,610,0.49,0.6,0.49,2.5,140,6,0.6,0.9,9.1,0.95,0.9,4.8,9,0.49,0.8,1.35,1.25,2.45,6,4.9,1.45,1.2,1.2,0.8,,,,,,,,,,,,,2151.87,1.544068044,2.041392685,2.255272505,1.763427994,2.380211242,1.146128036,0.079181246,-0.30980392,-0.30980392,-0.30980392,-0.30980392,1.73239376,1.770852012,2.770852012,-0.30980392,2.785329835,-0.30980392,-0.22184875,-0.30980392,0.397940009,2.146128036,0.77815125,-0.22184875,-0.045757491,0.959041392,-0.022276395,-0.045757491,0.681241237,0.954242509,-0.30980392,-0.096910013,0.130333768,0.096910013,0.389166084,0.77815125,0.69019608,0.161368002,0.079181246,0.079181246,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA007-SW-SPILL-11192020,11/19/2020 0:00,20324,Spill,Winter,0,10.3,1.012837225,11.4,1.056904851,,,,,29,95,140,63,260,15,0.8,0.49,0.49,0.49,0.49,40,63,660,17,550,0.49,0.6,0.49,2.3,140,6.8,0.6,0.9,13,0.95,0.9,4.8,9,0.49,0.8,1.35,1.3,2.45,6,4.9,1.45,1.25,1.25,0.8,,,,,,,,,,,,,2137.63,1.462397998,1.977723605,2.146128036,1.799340549,2.414973348,1.176091259,-0.096910013,-0.30980392,-0.30980392,-0.30980392,-0.30980392,1.602059991,1.799340549,2.819543936,1.230448921,2.740362689,-0.30980392,-0.22184875,-0.30980392,0.361727836,2.146128036,0.832508913,-0.22184875,-0.045757491,1.113943352,-0.022276395,-0.045757491,0.681241237,0.954242509,-0.30980392,-0.096910013,0.130333768,0.113943352,0.389166084,0.77815125,0.69019608,0.161368002,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA008-SW-RIPP-11192020,11/19/2020 0:00,20324,Ripp,Winter,0,10.3,1.012837225,12.07,1.08170727,,,,,39,110,190,66,250,16,0.9,0.5,0.5,0.5,0.5,51,71,610,20,640,0.5,0.6,0.5,3,140,7.6,0.6,0.9,10,0.95,0.9,4.9,9,0.5,0.8,1.4,1.3,2.5,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2267.65,1.591064607,2.041392685,2.278753601,1.819543936,2.397940009,1.204119983,-0.045757491,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.707570176,1.851258349,2.785329835,1.301029996,2.806179974,-0.301029996,-0.22184875,-0.301029996,0.477121255,2.146128036,0.880813592,-0.22184875,-0.045757491,1,-0.022276395,-0.045757491,0.69019608,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.397940009,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA009-SW-DOWN-11192020,11/19/2020 0:00,20324,Down,Winter,0,9.8,0.991226076,12.46,1.095518042,,,,,43,130,210,67,290,15,1.1,0.495,0.495,0.495,0.495,66,65,650,19,740,0.495,0.6,0.495,3.5,140,6.6,0.6,0.9,12,0.95,0.9,4.85,9,0.495,0.8,1.4,1.3,2.5,6,4.95,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2501.215,1.633468456,2.113943352,2.322219295,1.826074803,2.462397998,1.176091259,0.041392685,-0.305394801,-0.305394801,-0.305394801,-0.305394801,1.819543936,1.812913357,2.812913357,1.278753601,2.86923172,-0.305394801,-0.22184875,-0.305394801,0.544068044,2.146128036,0.819543936,-0.22184875,-0.045757491,1.079181246,-0.022276395,-0.045757491,0.685741739,0.954242509,-0.305394801,-0.096910013,0.146128036,0.113943352,0.397940009,0.77815125,0.694605199,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA010-SW-EXIT-11192020,11/19/2020 0:00,20324,Exit,Winter,0,8.9,0.949390007,12.4,1.093421685,,,,,26,75,160,53,290,17,1.2,0.5,0.5,0.5,0.5,41,53,550,23,610,0.5,0.6,0.5,2.7,120,6.1,0.6,0.9,7.7,0.95,0.9,4.9,9,0.5,0.8,1.4,1.3,2.8,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2079.15,1.414973348,1.875061263,2.204119983,1.72427587,2.462397998,1.230448921,0.079181246,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.612783857,1.72427587,2.740362689,1.361727836,2.785329835,-0.301029996,-0.22184875,-0.301029996,0.431363764,2.079181246,0.785329835,-0.22184875,-0.045757491,0.886490725,-0.022276395,-0.045757491,0.69019608,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.447158031,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA012-SW-SPILL-1124-2020,11/24/2020 0:00,20329,Spill,Winter,,12.7,1.103803721,6.15,0.788875116,,,,,50,150,270,80,350,19,0.92,0.5,0.5,0.5,0.5,77,85,650,24,820,0.5,0.6,0.5,4.7,180,10,0.6,0.9,8.5,0.95,0.9,4.9,9,0.5,0.8,1.4,1.3,2.8,6,5,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2822.57,1.698970004,2.176091259,2.431363764,1.903089987,2.544068044,1.278753601,-0.036212173,-0.301029996,-0.301029996,-0.301029996,-0.301029996,1.886490725,1.929418926,2.812913357,1.380211242,2.913813852,-0.301029996,-0.22184875,-0.301029996,0.672097858,2.255272505,1,-0.22184875,-0.045757491,0.929418926,-0.022276395,-0.045757491,0.69019608,0.954242509,-0.301029996,-0.096910013,0.146128036,0.113943352,0.447158031,0.77815125,0.698970004,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA013-SW-RIPP-1124-2020,11/24/2020 0:00,20329,Ripp,Winter,,11.8,1.071882007,6.18,0.790988475,,,,,48,140,250,62,300,17,0.92,0.495,0.495,0.495,0.495,71,88,690,21,620,0.495,0.6,0.495,5.5,180,9.5,0.6,0.9,8.7,0.95,0.9,4.85,9,0.495,0.8,1.4,1.3,2.8,6,4.95,1.5,1.25,1.25,0.8,,,,,,,,,,,,,2554.935,1.681241237,2.146128036,2.397940009,1.792391689,2.477121255,1.230448921,-0.036212173,-0.305394801,-0.305394801,-0.305394801,-0.305394801,1.851258349,1.944482672,2.838849091,1.322219295,2.792391689,-0.305394801,-0.22184875,-0.305394801,0.740362689,2.255272505,0.977723605,-0.22184875,-0.045757491,0.939519253,-0.022276395,-0.045757491,0.685741739,0.954242509,-0.305394801,-0.096910013,0.146128036,0.113943352,0.447158031,0.77815125,0.694605199,0.176091259,0.096910013,0.096910013,-0.096910013,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
