Sample ID,SampleDate,Location,Seasonality,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFDoS,4:2 FTS,6:2 FTS,8:2 FTS,FOSA,N-MeFOSA,N-MeFOSAA,N-EtFOSAA,ADONA,3:3 FTCA,5:3 FTCA,7:3 FTCA,N-EtFOSA,N-MeFOSE,N-EtFOSE,HFPO-DA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,PFMPA,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_6:2 FTS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-MeFOSAA,log_N-EtFOSAA,log_ADONA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_N-EtFOSA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_PFMPA
JBA037-SED-SPILL-03302021,3/30/2021 0:00,Spill,Spring,0.2,0.1,0.16,0.09,0.4,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.34,0.05,0.94,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.17,-0.698970004,-1,-0.795880017,-1.045757491,-0.397940009,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.468521083,-1.301029996,-0.026872146,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA038-SED-RIPP-03302021,3/30/2021 0:00,Ripp,Spring,0.2,0.1,0.09,0.09,0.068,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.0495,0.21,0.0495,1.2,0.0495,0.0495,0.0495,0.2,0.395,0.395,0.14,0.0495,0.0495,0.0495,0.2,0.245,1.25,1.25,0.0495,0.495,0.495,0.295,0.1,0.1,0.2,0.2,0.1,0.1,8.91,-0.698970004,-1,-1.045757491,-1.045757491,-1.167491087,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.677780705,-1.305394801,0.079181246,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.403402904,-0.403402904,-0.853871964,-1.305394801,-1.305394801,-1.305394801,-0.698970004,-0.610833916,0.096910013,0.096910013,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA039-SED-DOWN-03302021,3/30/2021 0:00,Down,Spring,0.2,0.1,0.09,0.09,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.34,0.05,1.3,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.16,-0.698970004,-1,-1.045757491,-1.045757491,-1,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.468521083,-1.301029996,0.113943352,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA040-SED-EXIT-03302021,3/30/2021 0:00,Exit,Spring,0.2,0.1,0.09,0.09,0.14,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.18,0.05,0.78,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,8.52,-0.698970004,-1,-1.045757491,-1.045757491,-0.853871964,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.744727495,-1.301029996,-0.107905397,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
JBA041-SED-SPILL-04022021,4/2/2021 0:00,Spill,Spring,0.08,0.04,0.17,0.02,0.332,0.066,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.33,0.02,0.972,0.02,0.02,0.02,0.08,0.08,0.08,0.02,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,3.71,-1.096910013,-1.397940009,-0.769551079,-1.698970004,-0.478861916,-1.180456064,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.48148606,-1.698970004,-0.012333735,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-1.096910013,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA042-SED-RIPP-04022021,4/2/2021 0:00,Ripp,Spring,0.08,0.106,0.321,0.038,0.092,0.05,0.02,0.037,0.033,0.02,0.02,0.02,0.02,0.19,0.02,1.04,0.02,0.02,0.02,0.08,0.151,0.08,0.18,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,3.878,-1.096910013,-0.974694135,-0.493494968,-1.420216403,-1.036212173,-1.301029996,-1.698970004,-1.431798276,-1.48148606,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.721246399,-1.698970004,0.017033339,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-0.821023053,-1.096910013,-0.744727495,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA043-SED-DOWN-04022021,4/2/2021 0:00,Down,Spring,0.08,0.091,0.28,0.039,0.127,0.053,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.49,0.02,1.71,0.02,0.02,0.02,0.08,0.455,0.176,0.142,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,5.163,-1.096910013,-1.040958608,-0.552841969,-1.408935393,-0.896196279,-1.27572413,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-0.30980392,-1.698970004,0.23299611,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-0.341988603,-0.754487332,-0.847711656,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA044-SED-EXIT-04022021,4/2/2021 0:00,Exit,Spring,0.08,0.04,0.02,0.02,0.044,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.082,0.02,0.653,0.02,0.02,0.02,0.08,0.08,0.08,0.044,0.02,0.02,0.02,0.08,0.08,0.5,0.5,,,,,,,,,,,2.683,-1.096910013,-1.397940009,-1.698970004,-1.698970004,-1.356547324,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.698970004,-1.086186148,-1.698970004,-0.185086819,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-1.096910013,-1.356547324,-1.698970004,-1.698970004,-1.698970004,-1.096910013,-1.096910013,-0.301029996,-0.301029996,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
JBA045-SED-SPILL-04072021,4/7/2021 12:00,Spill,Spring,0.195,0.1,0.17,0.09,0.41,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.43,0.049,1.2,0.049,0.049,0.049,0.195,0.395,0.395,0.09,0.049,0.049,0.049,0.195,0.245,1.25,1.25,0.049,0.49,0.49,0.295,0.1,0.1,0.195,0.195,0.1,0.1,9.459,-0.709965389,-1,-0.769551079,-1.045757491,-0.387216143,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.366531544,-1.30980392,0.079181246,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-0.403402904,-1.045757491,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.610833916,0.096910013,0.096910013,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-1,-1,-0.709965389,-0.709965389,-1,-1
JBA046-SED-RIPP-04072021,4/7/2021 12:00,Ripp,Spring,0.2,0.1,0.09,0.09,0.11,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.22,0.05,1.3,0.05,0.05,0.05,0.2,0.4,0.4,0.09,0.05,0.05,0.05,0.2,0.25,1.25,1.25,0.05,0.5,0.5,0.3,0.1,0.1,0.2,0.2,0.1,0.1,9.05,-0.698970004,-1,-1.045757491,-1.045757491,-0.958607315,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.657577319,-1.301029996,0.113943352,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.602059991,0.096910013,0.096910013,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-1,-1,-0.698970004,-0.698970004,-1,-1
