SampleID,SampleDate,Species,Sex,Tissue,Length,Weight,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFBS,PFPeS,PFHxS,PFHpS,PFOS,6:2 FTS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFHxDA,PFNS,PFDS,PFDoS,4:2 FTS,8:2 FTS,10:2 FTS,N-MeFOSAA,N-EtFOSAA,FOSA,FOSAA,N-MeFOSA,N-EtFOSA,HFPO-DA,ADONA,9Cl-PF3ONS,11Cl-PF3OUdS,3:3 FTCA,5:3 FTCA,7:3 FTCA,6:2 FTCA,8:2 FTCA,10:2 FTCA,6:2 FTUCA,8:2 FTUCA,6:2 diPAP,FBSA,FHxSA,PFPrS,Cl-PFOS,PFEtCHxS,8:2 diPAP,diSAmPAP,SumPFAS,log_PFBA,log_PFPeA,log_PFHxA,log_PFHpA,log_PFOA,log_PFNA,log_PFBS,log_PFPeS,log_PFHxS,log_PFHpS,log_PFOS,log_6:2 FTS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFHxDA,log_PFNS,log_PFDS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_10:2 FTS,log_N-MeFOSAA,log_N-EtFOSAA,log_FOSA,log_FOSAA,log_N-MeFOSA,log_N-EtFOSA,log_HFPO-DA,log_ADONA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_6:2 FTCA,log_8:2 FTCA,log_10:2 FTCA,log_6:2 FTUCA,log_8:2 FTUCA,log_6:2 diPAP,log_FBSA,log_FHxSA,log_PFPrS,log_Cl-PFOS,log_PFEtCHxS,log_8:2 diPAP,log_diSAmPAP
BG002-GN-07302020,11/10/2020 0:00,Bluegill,M,Gonad,17,223,1.21,0.063,2.75,5.52,4.09,9.06,0.063,0.7635,41.2,1.39,3370,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436.1725,0.08278537,-1.200659451,0.439332694,0.741939078,0.611723308,0.957128198,-1.200659451,-0.117190959,1.614897216,0.1430148,3.527629901,-1.200659451,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG002-LIV-07302020,11/10/2020 0:00,Bluegill,M,Liver,17,223,0.387,0.0294,0.629,0.681,1.15,0.609,0.0294,0.097,7.47,0.956,847,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.0672,-0.412289035,-1.53165267,-0.201349355,-0.166852888,0.06069784,-0.215382707,-1.53165267,-1.013228266,0.873320602,-0.019542108,2.92788341,-1.53165267,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG002-MU-07302020,11/10/2020 0:00,Bluegill,M,Muscle,17,223,0.934,0.0313,1.77,2.31,6.26,3.48,0.0313,0.517,35.9,3.21,4680,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4734.4749,-0.029653124,-1.504455662,0.247973266,0.36361198,0.796574333,0.541579244,-1.504455662,-0.286509457,1.555094449,0.506505032,3.670245853,-1.504455662,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-GN-07302020,11/10/2020 0:00,Bluegill,M,Gonad,14,130,0.0515,0.0515,0.0515,0.1705,0.0515,0.0515,0.0515,0.0515,12,0.541,2140,0.0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.1235,-1.288192771,-1.288192771,-1.288192771,-0.768275617,-1.288192771,-1.288192771,-1.288192771,-1.288192771,1.079181246,-0.266802735,3.330413773,-1.288192771,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-LIV-07302020,11/10/2020 0:00,Bluegill,M,Liver,14,130,0.0363,0.0363,0.0363,0.299,0.844,0.876,0.0363,0.1195,23.9,1.7,5730,0.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757.92,-1.440093375,-1.440093375,-1.440093375,-0.524328812,-0.073657553,-0.057495894,-1.440093375,-0.922632095,1.378397901,0.230448921,3.758154622,-1.440093375,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG004-MU-07302020,11/10/2020 0:00,Bluegill,M,Muscle,14,130,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,2.23,0.0324,428,0.0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.554,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,-1.48945499,0.348304863,-1.48945499,2.631443769,-1.48945499,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-GN-07302020,11/10/2020 0:00,Bluegill,F,Gonad,14,121,0.0278,0.0278,0.0278,0.0278,0.0278,0.183,0.0278,0.0278,7.99,1,2140,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149.3954,-1.555955204,-1.555955204,-1.555955204,-1.555955204,-1.555955204,-0.73754891,-1.555955204,-1.555955204,0.902546779,0,3.330413773,-1.555955204,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-LIV-07302020,11/10/2020 0:00,Bluegill,F,Liver,14,121,0.0358,0.0358,0.0358,0.0358,0.118,0.309,0.0358,0.118,16.3,0.854,5620,0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5637.9138,-1.446116973,-1.446116973,-1.446116973,-1.446116973,-0.928117993,-0.510041521,-1.446116973,-0.928117993,1.212187604,-0.068542129,3.749736316,-1.446116973,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG005-MU-07302020,11/10/2020 0:00,Bluegill,F,Muscle,14,121,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,1.08,0.0315,358,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.395,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,-1.501689446,0.033423755,-1.501689446,2.553883027,-1.501689446,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
BG006-GN-07302020,11/10/2020 0:00,Bluegill,F,Gonad,14,89,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.0438,0.1445,7.5,0.459,1600,0.0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.4539,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-1.358525889,-0.840132153,0.875061263,-0.338187314,3.204119983,-1.358525889,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
