"Analyte","SampleID","Spp_Loc","SampleDate","Sex","Weight","Length","Precipitation","value","Media","System","Seasonality","Chain_len","Acronym2"
"11ClPF3OUdS","LMB001-JBA-08162021","large mouth bass",2021-07-16,"U",25.51,8,NA,0.2385,"whole body","AFBC","summer",10,"Other"
"11ClPF3OUdS","PU003-JBA-08132021","pumpkinseed",2021-04-28,"U",10.71,8,NA,0.0563290292425037,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU006-JBA-08132021","pumpkinseed",2021-04-28,"U",5.57,6,NA,0.0567574773837946,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA070-SW-EXIT-04132021","exit",2021-04-13,NA,NA,NA,0.04,2.095,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA106-SED-RIPP-07122021","ripp",2021-07-12 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA087-SED-DOWN-06162021","down",2021-06-16 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA088-SW-RIPP-042621","ripp",2021-04-26,NA,NA,NA,NA,2.075,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA095-SED-DOWN-07012021","down",2021-07-01 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA093-SW-RIPP-042821","ripp",2021-04-28,NA,NA,NA,0,2.025,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA074-SW-DOWN-041521","down",2021-04-15,NA,NA,NA,0.34,1.3,"water","AFBC","spring",10,"Other"
"11ClPF3OUdS","PU023-JBA-08132021","pumpkinseed",2021-04-28,"U",9.35,8,NA,0.053,"whole body","AFBC","spring",10,"Other"
"11ClPF3OUdS","JBA086-SED-RIPP-06162021","ripp",2021-06-16 12:00:00,NA,NA,NA,NA,0.2,"sediment","AFBC","summer",10,"Other"
"11ClPF3OUdS","JBA084-SW-DOWN-0423-21","down",2021-04-23,NA,NA,NA,0,1.3,"water","AFBC","spring",10,"Other"
